Customer ID,Name,Phone,Contact Last Name,Contact First Name
46,Motor Mint Distributors Inc.,2155559857,Hernandez,Rosa
47,Atelier graphique,40.32.2555,Schmitt,Carine
48,Mini Classics,9145554562,Frick,Steve
49,Danish Wholesale Imports,31 12 3555,Petersen,Jytte
50,"Stylish Desk Decors, Co.",(171) 555-0297,Brown,Ann
51,Mini Creations Ltd.,5085559555,Tam,Wing C
52,Alpha Cognac,61.77.6555,Roulet,Annette
53,"Double Decker Gift Stores, Ltd",(171) 555-7555,Hardy,Thomas
54,Enaco Distributors,(93) 203 4555,Saavedra,Eduardo
55,"Men 'R' US Retailers, Ltd.",2155554369,Chandler,Michael
56,Collectable Mini Designs Co.,7605558146,Thompson,Valarie
57,Petit Auto,(02) 5554 67,Dewey,Catherine
58,"Royal Canadian Collectables, Ltd.",(604) 555-4555,Lincoln,Elizabeth
59,Gifts4AllAges.com,6175559555,Yoshido,Juri
60,giftsbymail.co.uk,(198) 555-8888,Bennett,Helen
61,"Oulu Toy Supplies, Inc.",981-443655,Koskitalo,Pirkko
62,The Sharp Gifts Warehouse,4085553659,Frick,Sue
63,"La Corne D'abondance, Co.",(1) 42.34.2555,Bertrand,Marie
64,Mini Auto Werke,7675-3555,Mendel,Roland
65,Diecast Collectables,6175552555,Franco,Valarie
66,Handji Gifts& Co,+65 224 1555,Victorino,Wendy
67,Cruz & Sons Co.,+63 2 555 3587,Cruz,Arnold
68,Marseille Mini Autos,91.24.4555,Lebihan,Laurence
69,"Toms Spezialitten, Ltd",0221-5554327,Pfalzheim,Henriette
70,"Vida Sport, Ltd",0897-034555,Holz,Michael
71,L'ordine Souveniers,0522-556555,Moroni,Maurizio
72,Online Mini Collectables,6175557555,Barajas,Miguel
73,"Blauer See Auto, Co.",+49 69 66 90 2555,Keitel,Roland
74,Suominen Souveniers,+358 9 8045 555,Suominen,Kalle
75,Muscle Machine Inc,2125557413,Young,Jeff
76,"Clover Collections, Co.",+353 1862 1555,Cassidy,Dean
77,CAF Imports,+34 913 728 555,Fernandez,Jesus
78,"AV Stores, Co.",(171) 555-1555,Ashworth,Victoria
79,Heintze Collectables,86 21 3555,Ibsen,Palle
80,Microscale Inc.,2125551957,Kuo,Kee
81,Boards & Toys Co.,3105552373,Young,Leslie
82,"Iberia Gift Imports, Corp.",(95) 555 82 82,Roel,Jose Pedro
83,Signal Collectibles Ltd.,4155554312,Taylor,Sue
84,Mini Caravy,88.60.1555,Citeaux,Frederique
85,Signal Gift Stores,7025551838,King,Sue
86,"Norway Gifts By Mail, Co.",+47 2212 1555,Klaeboe,Jan
87,Rovelli Gifts,035-640555,Rovelli,Giovanni
88,"Australian Collectables, Ltd",61-9-3844-6555,Connery,Sean
89,Gift Ideas Corp.,2035554407,Lewis,Dan
90,"Bavarian Collectables Imports, Co.",+49 89 61 08 9555,Donnermeyer,Michael
91,Royale Belge,(071) 23 67 2555,Cartrain,Pascale
92,Auto-Moto Classics Inc.,6175558428,Taylor,Leslie
